month,trip_duration_sec,start_station_id,start_station_name,end_station_id,end_station_name,bike_id,user_type,member_birth_year,member_gender,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,start_city,end_city
April,404,79.0,7th St at Brannan St,47.0,4th St at Harrison St,6151,Customer,1988.0,Male,37.7734919,-122.4036725,37.78095459960753,-122.39974915981293,San Francisco,San Francisco
May,300,350.0,8th St at Brannan St,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),2510,Subscriber,1989.0,Male,37.77143136292109,-122.40578681230544,37.77663920000001,-122.3955263,San Francisco,San Francisco
April,945,81.0,Berry St at 4th St,110.0,17th & Folsom Street Park (17th St at Folsom St),608,Subscriber,1995.0,Female,37.77588,-122.39317,37.7637085,-122.41520420000002,San Francisco,San Francisco
Februrary,1156,14.0,Clay St at Battery St,92.0,Mission Bay Kids Park,5944,Subscriber,1979.0,Male,37.795001,-122.39997,37.772300631747626,-122.39302754402159,San Francisco,San Francisco
March,131,89.0,Division St at Potrero Ave,100.0,Bryant St at 15th St,5036,Subscriber,1980.0,Male,37.76921786152374,-122.40764558315277,37.7671004,-122.41066200000002,San Francisco,San Francisco
Februrary,407,70.0,Central Ave at Fell St,55.0,Webster St at Grove St,4978,Subscriber,1994.0,Male,37.77331087889723,-122.44429260492323,37.7770527,-122.4295585,San Francisco,San Francisco
January,559,81.0,Berry St at 4th St,15.0,San Francisco Ferry Building (Harry Bridges Plaza),624,Subscriber,1991.0,Male,37.77588,-122.39317,37.795392,-122.394203,San Francisco,San Francisco
May,399,290.0,George St at 1st St,318.0,San Carlos St at Market St,3928,Subscriber,1989.0,Male,37.3477319,-121.899464,37.330698,-121.888979,San Jose,San Jose
May,219,370.0,Jones St at Post St,33.0,Golden Gate Ave at Hyde St,471,Subscriber,1991.0,Female,37.7873267660624,-122.41327822208405,37.7816495,-122.4154077,San Francisco,San Francisco
Februrary,1298,373.0,Potrero del Sol Park (25th St at Utah St),369.0,Hyde St at Post St,5809,Subscriber,1996.0,Male,37.75179164525661,-122.40521550178528,37.78734902316596,-122.41665109992027,San Francisco,San Francisco
March,502,80.0,Townsend St at 5th St,77.0,11th St at Natoma St,4452,Subscriber,1964.0,Male,37.77523486860596,-122.39743709564208,37.7735069,-122.4160402,San Francisco,San Francisco
April,433,3.0,Powell St BART Station (Market St at 4th St),42.0,San Francisco City Hall (Polk St at Grove St),6795,Subscriber,1969.0,Male,37.78637526861584,-122.40490436553956,37.77865,-122.41823,San Francisco,San Francisco
April,1071,62.0,Victoria Manalo Draves Park,373.0,Potrero del Sol Park (25th St at Utah St),6909,Subscriber,1990.0,Female,37.77779057034257,-122.40643188357352,37.75179164525661,-122.40521550178528,San Francisco,San Francisco
January,639,20.0,Mechanics Monument Plaza (Market St at Bush St),30.0,San Francisco Caltrain (Townsend St at 4th St),4824,Subscriber,1988.0,Male,37.7913,-122.399051,37.776598,-122.395282,San Francisco,San Francisco
January,563,41.0,Golden Gate Ave at Polk St,323.0,Broadway at Kearny,4837,Subscriber,1976.0,Male,37.78127,-122.41874,37.79801364395978,-122.40595042705534,San Francisco,San Francisco
Februrary,475,368.0,Myrtle St at Polk St,26.0,1st St at Folsom St,6266,Subscriber,1986.0,Male,37.785433827868225,-122.41962164640428,37.78729000000001,-122.39438,San Francisco,San Francisco
January,342,28.0,The Embarcadero at Bryant St,27.0,Beale St at Harrison St,5141,Customer,1972.0,Male,37.78716801474664,-122.38809792330359,37.7880593,-122.3918648,San Francisco,San Francisco
April,991,104.0,4th St at 16th St,21.0,Montgomery St BART Station (Market St at 2nd St),2371,Customer,1993.0,Male,37.76704457969368,-122.39083349704742,37.7896254,-122.400811,San Francisco,San Francisco
Februrary,549,114.0,Rhode Island St at 17th St,43.0,San Francisco Public Library (Grove St at Hyde St),5018,Subscriber,1966.0,Male,37.7644783,-122.4025701,37.7787677,-122.4159292,San Francisco,San Francisco
Februrary,360,193.0,Grand Ave at Santa Clara Ave,181.0,Grand Ave at Webster St,4577,Subscriber,1980.0,Male,37.8127441,-122.2472152,37.8113768,-122.2651925,Oakland/Berkeley,Oakland/Berkeley
May,999,49.0,S Park St at 3rd St,49.0,S Park St at 3rd St,1587,Customer,1988.0,Male,37.7807601,-122.3949894,37.7807601,-122.3949894,San Francisco,San Francisco
April,1311,371.0,Lombard St at Columbus Ave,364.0,China Basin St at 3rd St,2260,Customer,1989.0,Female,37.80274615250053,-122.41357862949371,37.7719996,-122.3899698,San Francisco,San Francisco
January,377,210.0,45th St at Manila,178.0,Broadway at 30th St,5437,Subscriber,1983.0,Male,37.8332935222321,-122.25622415542604,37.81938140000001,-122.2619284,Oakland/Berkeley,Oakland/Berkeley
April,387,44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),350.0,8th St at Brannan St,5474,Subscriber,1986.0,Female,37.7810737,-122.4117382,37.77143136292109,-122.40578681230544,San Francisco,San Francisco
January,1451,53.0,Grove St at Divisadero,47.0,4th St at Harrison St,5265,Subscriber,1965.0,Male,37.77594600000001,-122.4377775,37.78095459960753,-122.39974915981293,San Francisco,San Francisco
April,537,109.0,17th St at Valencia St,146.0,30th St at San Jose Ave,5915,Subscriber,1992.0,Male,37.7633158,-122.4219039,37.7423139,-122.4231805,San Francisco,San Francisco
January,238,219.0,Marston Campbell Park,202.0,Washington St at 8th St,4483,Subscriber,1993.0,Male,37.8098236,-122.2801923,37.8007544,-122.2748943,Oakland/Berkeley,Oakland/Berkeley
Februrary,1688,43.0,San Francisco Public Library (Grove St at Hyde St),380.0,Masonic Ave at Turk St,5038,Subscriber,1981.0,Male,37.7787677,-122.4159292,37.779046658472055,-122.44729131460188,San Francisco,San Francisco
May,341,247.0,Fulton St at Bancroft Way,255.0,Virginia St at Shattuck Ave,3701,Customer,1991.0,Male,37.8677892,-122.26589640000002,37.876572549106854,-122.26952791213988,Oakland/Berkeley,Oakland/Berkeley
April,605,55.0,Webster St at Grove St,3.0,Powell St BART Station (Market St at 4th St),4385,Subscriber,1984.0,Male,37.7770527,-122.4295585,37.78637526861584,-122.40490436553956,San Francisco,San Francisco
May,599,101.0,15th St at Potrero Ave,43.0,San Francisco Public Library (Grove St at Hyde St),3171,Subscriber,1966.0,Male,37.76707850458367,-122.40735858678819,37.7787677,-122.4159292,San Francisco,San Francisco
April,1053,147.0,29th St at Tiffany Ave,102.0,Irwin St at 8th St,22,Subscriber,1982.0,Male,37.74406670000001,-122.4214722,37.7668828,-122.3995794,San Francisco,San Francisco
March,738,200.0,2nd Ave at E 18th St,187.0,Jack London Square,5094,Subscriber,1989.0,Female,37.800213566969795,-122.25381016731262,37.796248,-122.279352,Oakland/Berkeley,Oakland/Berkeley
Februrary,71,337.0,Webster St at 19th St,182.0,19th Street BART Station,201,Subscriber,1991.0,Male,37.80696976095594,-122.26658821105957,37.8090126,-122.2682473,Oakland/Berkeley,Oakland/Berkeley
Februrary,649,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),58.0,Market St at 10th St,6168,Subscriber,1998.0,Male,37.77663920000001,-122.3955263,37.776619,-122.417385,San Francisco,San Francisco
May,498,20.0,Mechanics Monument Plaza (Market St at Bush St),36.0,Folsom St at 3rd St,1366,Subscriber,1982.0,Female,37.7913,-122.399051,37.78383,-122.39887,San Francisco,San Francisco
Februrary,841,119.0,18th St at Noe St,101.0,15th St at Potrero Ave,124,Customer,1968.0,Male,37.7610471,-122.43264170000002,37.76707850458367,-122.40735858678819,San Francisco,San Francisco
May,304,74.0,Laguna St at Hayes St,43.0,San Francisco Public Library (Grove St at Hyde St),1744,Subscriber,1982.0,Male,37.77643481920474,-122.42624402046205,37.7787677,-122.4159292,San Francisco,San Francisco
April,652,81.0,Berry St at 4th St,22.0,Howard St at Beale St,410,Subscriber,1993.0,Male,37.77588,-122.39317,37.789756,-122.394643,San Francisco,San Francisco
March,254,47.0,4th St at Harrison St,30.0,San Francisco Caltrain (Townsend St at 4th St),2125,Subscriber,1990.0,Male,37.78095459960753,-122.39974915981293,37.776598,-122.395282,San Francisco,San Francisco
March,182,209.0,45th St at MLK Jr Way,175.0,49th St at Telegraph Ave,5080,Subscriber,1982.0,Male,37.83355770000001,-122.2674183,37.8359455,-122.2623663,Oakland/Berkeley,Oakland/Berkeley
January,644,364.0,China Basin St at 3rd St,22.0,Howard St at Beale St,5535,Subscriber,1985.0,Male,37.7719996,-122.3899698,37.789756,-122.394643,San Francisco,San Francisco
April,486,370.0,Jones St at Post St,60.0,8th St at Ringold St,6546,Subscriber,1992.0,Male,37.7873267660624,-122.41327822208405,37.774520401136854,-122.4094493687153,San Francisco,San Francisco
April,182,235.0,Union St at 10th St,218.0,DeFremery Park,1389,Subscriber,1983.0,Male,37.8072393,-122.2893702,37.8123315,-122.2851712,Oakland/Berkeley,Oakland/Berkeley
March,421,27.0,Beale St at Harrison St,66.0,3rd St at Townsend St,38,Subscriber,1961.0,Male,37.7880593,-122.3918648,37.77874161153677,-122.39274082710837,San Francisco,San Francisco
May,1829,356.0,Valencia St at Clinton Park,49.0,S Park St at 3rd St,2410,Customer,1992.0,Female,37.769188178104585,-122.42228507995605,37.7807601,-122.3949894,San Francisco,San Francisco
March,516,90.0,Townsend St at 7th St,373.0,Potrero del Sol Park (25th St at Utah St),5091,Subscriber,1988.0,Male,37.771058,-122.402717,37.75179164525661,-122.40521550178528,San Francisco,San Francisco
April,1010,114.0,Rhode Island St at 17th St,20.0,Mechanics Monument Plaza (Market St at Bush St),1415,Subscriber,1988.0,Male,37.7644783,-122.4025701,37.7913,-122.399051,San Francisco,San Francisco
May,187,145.0,29th St at Church St,142.0,Guerrero Park,2868,Subscriber,1987.0,Male,37.7436839,-122.42680590000002,37.74573879618333,-122.42214024066924,San Francisco,San Francisco
May,627,90.0,Townsend St at 7th St,26.0,1st St at Folsom St,3364,Subscriber,1988.0,Male,37.771058,-122.402717,37.78729000000001,-122.39438,San Francisco,San Francisco
March,957,95.0,Sanchez St at 15th St,36.0,Folsom St at 3rd St,6292,Subscriber,1990.0,Male,37.7662185,-122.4310597,37.78383,-122.39887,San Francisco,San Francisco
Februrary,692,23.0,The Embarcadero at Steuart St,104.0,4th St at 16th St,4835,Subscriber,1976.0,Male,37.79146400000001,-122.391034,37.76704457969368,-122.39083349704742,San Francisco,San Francisco
March,454,243.0,Bancroft Way at College Ave,246.0,Berkeley Civic Center,3528,Subscriber,1966.0,Male,37.8693603,-122.2543374,37.8690599,-122.270556,Oakland/Berkeley,Oakland/Berkeley
May,617,58.0,Market St at 10th St,20.0,Mechanics Monument Plaza (Market St at Bush St),518,Subscriber,1994.0,Male,37.776619,-122.417385,37.7913,-122.399051,San Francisco,San Francisco
April,172,244.0,Shattuck Ave at Hearst Ave,256.0,Hearst Ave at Euclid Ave,6680,Subscriber,1993.0,Male,37.87367621459825,-122.26848721504213,37.87511169286445,-122.26055324077606,Oakland/Berkeley,Oakland/Berkeley
May,534,129.0,Harrison St at 20th St,89.0,Division St at Potrero Ave,2159,Customer,1967.0,Female,37.758862,-122.412544,37.76921786152374,-122.40764558315277,San Francisco,San Francisco
January,329,89.0,Division St at Potrero Ave,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),4606,Subscriber,1979.0,Female,37.76921786152374,-122.40764558315277,37.77663920000001,-122.3955263,San Francisco,San Francisco
Februrary,878,47.0,4th St at Harrison St,115.0,Jackson Playground,3732,Customer,1986.0,Male,37.78095459960753,-122.39974915981293,37.7650259,-122.3987734,San Francisco,San Francisco
March,206,93.0,4th St at Mission Bay Blvd S,364.0,China Basin St at 3rd St,6356,Subscriber,1990.0,Female,37.7704074,-122.39119840000002,37.7719996,-122.3899698,San Francisco,San Francisco
March,203,337.0,Webster St at 19th St,338.0,13th St at Franklin St,5610,Subscriber,1984.0,Male,37.80696976095594,-122.26658821105957,37.803189081131634,-122.27057933807372,Oakland/Berkeley,Oakland/Berkeley
Februrary,307,253.0,Haste St at College Ave,249.0,Russell St at College Ave,1996,Subscriber,1984.0,Male,37.86641794050319,-122.25379943847656,37.8584732,-122.2532529,Oakland/Berkeley,Oakland/Berkeley
March,198,289.0,5th St at Taylor St,378.0,Empire St at 7th St,6606,Subscriber,1933.0,Female,37.3510173,-121.8959209,37.34774456553247,-121.89079999923706,San Jose,San Jose
March,200,66.0,3rd St at Townsend St,36.0,Folsom St at 3rd St,5583,Subscriber,1993.0,Male,37.77874161153677,-122.39274082710837,37.78383,-122.39887,San Francisco,San Francisco
March,357,3.0,Powell St BART Station (Market St at 4th St),44.0,Civic Center/UN Plaza BART Station (Market St at McAllister St),3191,Subscriber,1986.0,Male,37.78637526861584,-122.40490436553956,37.7810737,-122.4117382,San Francisco,San Francisco
January,343,5.0,Powell St BART Station (Market St at 5th St),21.0,Montgomery St BART Station (Market St at 2nd St),2531,Subscriber,1978.0,Male,37.78389935708493,-122.40844488143921,37.7896254,-122.400811,San Francisco,San Francisco
March,1128,182.0,19th Street BART Station,148.0,Horton St at 40th St,4520,Subscriber,1977.0,Female,37.8090126,-122.2682473,37.82970460000001,-122.2876102,Oakland/Berkeley,Oakland/Berkeley
April,325,296.0,5th St at Virginia St,280.0,San Fernando St at 7th St,6598,Subscriber,1996.0,Male,37.3259984,-121.87712,37.3371223728942,-121.88321471214294,San Jose,San Jose
Februrary,439,3.0,Powell St BART Station (Market St at 4th St),368.0,Myrtle St at Polk St,4464,Customer,1993.0,Male,37.78637526861584,-122.40490436553956,37.785433827868225,-122.41962164640428,San Francisco,San Francisco
March,257,92.0,Mission Bay Kids Park,90.0,Townsend St at 7th St,5963,Subscriber,1984.0,Female,37.772300631747626,-122.39302754402159,37.771058,-122.402717,San Francisco,San Francisco
January,609,120.0,Mission Dolores Park,107.0,17th St at Dolores St,2881,Subscriber,1980.0,Male,37.7614205,-122.4264353,37.7630152,-122.42649679999998,San Francisco,San Francisco
January,708,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),373.0,Potrero del Sol Park (25th St at Utah St),5246,Subscriber,1986.0,Male,37.77663920000001,-122.3955263,37.75179164525661,-122.40521550178528,San Francisco,San Francisco
April,174,21.0,Montgomery St BART Station (Market St at 2nd St),13.0,Commercial St at Montgomery St,5790,Subscriber,1982.0,Male,37.7896254,-122.400811,37.794231,-122.402923,San Francisco,San Francisco
April,629,10.0,Washington St at Kearny St,26.0,1st St at Folsom St,5584,Subscriber,1993.0,Male,37.795392937254526,-122.4047702550888,37.78729000000001,-122.39438,San Francisco,San Francisco
March,335,61.0,Howard St at 8th St,77.0,11th St at Natoma St,1689,Subscriber,1983.0,Male,37.7765126,-122.4113061,37.7735069,-122.4160402,San Francisco,San Francisco
